,,,,,,,,,,,,,
LISTADO DE RECURSOS DE GENERACIÓN,,,,,,,,,,,,,
,,,,,,,,,,,,,
Código SIC,Nombre Recurso,Capacidad Efectiva Neta [MW],Factor de Conversión,Es Menor,Tipo Despacho,Combustible por Defecto,Fecha Operación,Municipio,Departamento,Agente Representante,Estado Recurso,Tipo Generación,Clasificación
2U5P,PROENCA II,17,0.1,SI,ND,CARBON,10/10/17,GUACHENÉ,CAUCA,PROYECTOS ENERGETICOS DEL CAUCA S.A. E.S.P.,OPERACIÓN,TERMICA,NORMAL
2S9Q,TEQUENDAMA BIOGAS,2,0,SI,ND,BIOGAS,06/25/16,FUNDACION,MAGDALENA,VOLTAJE EMPRESARIAL S.A.S. E.S.P.,OPERACIÓN,TERMICA,NORMAL
2S8S,DOÑA JUANA,2,0,SI,ND,BIOGAS,04/29/16,BOGOTA D.C,BOGOTÁ. D.C.,BIOGAS COLOMBIA S.A.S. E.S.P ,OPERACIÓN,TERMICA,NORMAL
2S8I,AUTOG REFICAR,10,0,NO,ND,GAS,04/26/16,CARTAGENA,BOLÍVAR,GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,OPERACIÓN,TERMICA,AUTOGENERADOR
2S6Q,AUTOG YAGUARITO,2,0,NO,ND,BIOGAS,03/22/16,SAN CARLOSGUAROA,META,ELECTRIFICADORA DEL META S.A. E.S.P.,OPERACIÓN,TERMICA,AUTOGENERADOR
2S6S,AUTOG ARGOS YUMBO,10,0,NO,ND,CARBON,03/20/16,YUMBO,VALLE DEL CAUCA,CELSIA COLOMBIA S.A. E.S.P.,OPERACIÓN,TERMICA,AUTOGENERADOR
2V25,AUTOG ARGOS SOGAMOSO 1,15,0,NO,ND,CARBON,10/02/18,SOGAMOSO,BOYACÁ,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,OPERACIÓN,TERMICA,AUTOGENERADOR
ARG1,AUTOG ARGOS CARTAGENA,16,8.95,NO,ND,GAS,03/15/16,CARTAGENA,BOLÍVAR,CELSIA COLOMBIA S.A. E.S.P.,OPERACIÓN,TERMICA,AUTOGENERADOR
TMB1,TERMOBOLIVAR 1,10,0,SI,ND,GAS,03/04/16,TOPAGA,BOYACÁ,GENERSA S.A.S. E.S.P.,OPERACIÓN,TERMICA,NORMAL
TSJ2,TASAJERO 2,170,10.1502,NO,DC,CARBON,11/30/15,SAN CAYETANO,NORTE DE SANTANDER,TERMOTASAJERO DOS S.A. E.S.P. ,OPERACIÓN,TERMICA,NORMAL
PRF1,PURIFICACION,8,11.148,SI,ND,GAS,11/25/14,PURIFICACION,TOLIMA,SURENERGY S.A.S. E.S.P.,INACTIVO,TERMICA,NORMAL
GEC3,GECELCA 3,164,10.1434,NO,DC,CARBON,09/17/15,PTO. LIBERTADOR,CÓRDOBA,GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,OPERACIÓN,TERMICA,NORMAL
CTM1,EL MORRO 1,20,12.4,SI,ND,GAS,05/23/07,YOPAL,CASANARE,TERMOYOPAL GENERACION 2 S.A.S E.S.P.,INACTIVO,TERMICA,NORMAL
CTM2,EL MORRO 2,20,13.84,SI,ND,GAS,08/09/07,YOPAL,CASANARE,TERMOYOPAL GENERACION 2 S.A.S E.S.P.,INACTIVO,TERMICA,NORMAL
CIMR,CIMARRON,20,13.5,SI,ND,GAS,08/18/07,YOPAL,CASANARE,TERMOYOPAL GENERACION 2 S.A.S E.S.P.,INACTIVO,TERMICA,NORMAL
TPD1,TERMOPIEDRAS,4,0,SI,ND,GAS,12/30/99,PIEDRAS,TOLIMA,TERMOPIEDRAS S.A. E.S.P.,OPERACIÓN,TERMICA,NORMAL
PPA4,PAIPA 4,165,9.2991,NO,DC,CARBON,01/08/99,PAIPA,BOYACÁ,COMPAÑÍA ELÉCTRICA DE SOCHAGOTA  S.A. E.S.P.,OPERACIÓN,TERMICA,NORMAL
MRL1,MERILECTRICA 1,164,9.0003,NO,DC,GAS,02/05/98,BARRANCABERMEJA,SANTANDER,CELSIA COLOMBIA S.A. E.S.P.,OPERACIÓN,TERMICA,NORMAL
TDR1,TERMODORADA 1,50,9.663,NO,DC,GAS,08/11/97,LA DORADA,CALDAS,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,OPERACIÓN,TERMICA,NORMAL
ZPA5,ZIPAEMG 5,63,12.6678,NO,DC,CARBON,12/14/85,TOCANCIPA,CUNDINAMARCA,ENEL COLOMBIA SA ESP,OPERACIÓN,TERMICA,NORMAL
ZPA4,ZIPAEMG 4,64,12.9999,NO,DC,CARBON,04/01/81,TOCANCIPA,CUNDINAMARCA,ENEL COLOMBIA SA ESP,OPERACIÓN,TERMICA,NORMAL
ZPA3,ZIPAEMG 3,63,11.7024,NO,DC,CARBON,01/01/76,TOCANCIPA,CUNDINAMARCA,ENEL COLOMBIA SA ESP,OPERACIÓN,TERMICA,NORMAL
ZPA2,ZIPAEMG 2,36,11.4401,NO,DC,CARBON,01/01/64,TOCANCIPA,CUNDINAMARCA,ENEL COLOMBIA SA ESP,OPERACIÓN,TERMICA,NORMAL
TSJ1,TASAJERO 1,165,9.2374,NO,DC,CARBON,02/20/85,SAN CAYETANO,NORTE DE SANTANDER,TERMOTASAJERO S.A. E.S.P.,OPERACIÓN,TERMICA,NORMAL
PRG2,PROELECTRICA 2,45,8.0707,NO,DC,GAS,07/01/93,CARTAGENA,BOLÍVAR,PROELECTRICA S.A.S E.S.P.,OPERACIÓN,TERMICA,NORMAL
PRG1,PROELECTRICA 1,45,8.2719,NO,DC,GAS,07/01/93,CARTAGENA,BOLÍVAR,PROELECTRICA S.A.S E.S.P.,OPERACIÓN,TERMICA,NORMAL
PLQ3,PALENQUE 3,13,14.3162,NO,DC,GAS,01/01/72,GIRON,SANTANDER,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,INACTIVO,TERMICA,NORMAL
PPA3,PAIPA 3,70,11.4369,NO,DC,CARBON,05/06/82,PAIPA,BOYACÁ,GESTION ENERGETICA S.A. E.S.P.,OPERACIÓN,TERMICA,NORMAL
PPA2,PAIPA 2,72,10.5569,NO,DC,CARBON,01/01/75,PAIPA,BOYACÁ,GESTION ENERGETICA S.A. E.S.P.,OPERACIÓN,TERMICA,NORMAL
PPA1,PAIPA 1,36,12.4335,NO,DC,CARBON,01/01/63,PAIPA,BOYACÁ,GESTION ENERGETICA S.A. E.S.P.,OPERACIÓN,TERMICA,NORMAL
TGJ2,GUAJIRA 2,130,10.216,NO,DC,MEZCLA GAS - CARBÓN,11/23/87,DIBULLA,LA GUAJIRA,GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,OPERACIÓN,TERMICA,NORMAL
TGJ1,GUAJIRA 1,145,10.1549,NO,DC,CARBON,08/08/83,DIBULLA,LA GUAJIRA,GENERADORA Y COMERCIALIZADORA DE ENERGIA DEL CARIBE S.A. E.S.P.,OPERACIÓN,TERMICA,NORMAL
VLL1,VALLE 1,40,0,NO,DC,ACPM,01/01/94,CALI,VALLE DEL CAUCA,CENTRAL HIDROELECTRICA DE BETANIA S.A. E.S.P.,INACTIVO,TERMICA,NORMAL
TBU3,TIBU 3,5,0,NO,DC,DIESEL MAR,01/01/65,TIBU,NORTE DE SANTANDER,CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. E.S.P.,INACTIVO,TERMICA,NORMAL
TBU2,TIBU 2,5,0,NO,DC,DIESEL MAR,01/01/65,TIBU,NORTE DE SANTANDER,CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. E.S.P.,INACTIVO,TERMICA,NORMAL
TBU1,TIBU 1,5,0,NO,DC,DIESEL MAR,01/01/65,TIBU,NORTE DE SANTANDER,CENTRALES ELECTRICAS DEL NORTE DE SANTANDER S.A. E.S.P.,INACTIVO,TERMICA,NORMAL
RMAR,RIOMAR 1,9,0,NO,DC,GAS,07/20/95,BARRANQUILLA,ATLÁNTICO,ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.,INACTIVO,TERMICA,NORMAL
PLQ4,PALENQUE 4,14,0,NO,DC,GAS,07/20/95,GIRON,SANTANDER,ELECTRIFICADORA DE SANTANDER S.A. E.S.P.,INACTIVO,TERMICA,NORMAL
LNN4,LA UNION 4,9,0,NO,DC,GAS,01/01/71,BARRANQUILLA,ATLÁNTICO,ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.,INACTIVO,TERMICA,NORMAL
LNN3,LA UNION 3,18,0,NO,DC,GAS,01/01/71,BARRANQUILLA,ATLÁNTICO,ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.,INACTIVO,TERMICA,NORMAL
LNN2,LA UNION 2,9,0,NO,DC,GAS,01/01/71,BARRANQUILLA,ATLÁNTICO,ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.,INACTIVO,TERMICA,NORMAL
LNN1,LA UNION 1,8,0,NO,DC,GAS,01/01/71,BARRANQUILLA,ATLÁNTICO,ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.,INACTIVO,TERMICA,NORMAL
ERO8,EL RIO 8,11,0,NO,DC,GAS,01/01/72,BARRANQUILLA,ATLÁNTICO,ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.,INACTIVO,TERMICA,NORMAL
ERO7,EL RIO 7,10,0,NO,DC,GAS,01/01/72,BARRANQUILLA,ATLÁNTICO,ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.,INACTIVO,TERMICA,NORMAL
CTG3,CARTAGENA 3,66,11.522,NO,DC,GAS,01/01/80,CARTAGENA,BOLÍVAR,NITRO ENERGY COLOMBIA S.A.S. E.S.P.,OPERACIÓN,TERMICA,NORMAL
CTG2,CARTAGENA 2,60,11.8104,NO,DC,GAS,01/01/80,CARTAGENA,BOLÍVAR,NITRO ENERGY COLOMBIA S.A.S. E.S.P.,OPERACIÓN,TERMICA,NORMAL
CTG1,CARTAGENA 1,52,13.665,NO,DC,GAS,07/20/95,CARTAGENA,BOLÍVAR,NITRO ENERGY COLOMBIA S.A.S. E.S.P.,OPERACIÓN,TERMICA,NORMAL
TBQ4,BARRANQUILLA 4,60,11.6696,NO,DC,GAS,01/01/80,SOLEDAD,ATLÁNTICO,TERMOBARRANQUILLA S.A. EMPRESA DE SERVICIOS PUBLICOS,OPERACIÓN,TERMICA,NORMAL
TBQ3,BARRANQUILLA 3,60,10.5077,NO,DC,GAS,01/01/80,SOLEDAD,ATLÁNTICO,TERMOBARRANQUILLA S.A. EMPRESA DE SERVICIOS PUBLICOS,OPERACIÓN,TERMICA,NORMAL
TYP1,TERMOYOPAL 1,8,13.5515,NO,DC,GAS,12/01/20,YOPAL,CASANARE,TERMOYOPAL GENERACION 2 S.A.S E.S.P.,OPERACIÓN,TERMICA,NORMAL
TYP2,TERMOYOPAL 2,28,12.0234,NO,DC,GAS,07/29/04,YOPAL,CASANARE,TERMOYOPAL GENERACION 2 S.A.S E.S.P.,OPERACIÓN,TERMICA,NORMAL
BRN3,BARRANCA 3,24,0,NO,DC,ACPM,03/20/16,BARRANCABERMEJA,SANTANDER,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,INACTIVO,TERMICA,NORMAL
BRN2,BARRANCA 2,12,0,SI,DC,GAS,02/01/16,BARRANCABERMEJA,SANTANDER,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,INACTIVO,TERMICA,NORMAL
BRN1,BARRANCA 1,12,13.26,SI,DC,ACPM,03/20/16,BARRANCABERMEJA,SANTANDER,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,INACTIVO,TERMICA,NORMAL
ERO6,EL RIO 6,10,0,NO,DC,GAS,01/01/72,BARRANQUILLA,ATLÁNTICO,ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.,INACTIVO,TERMICA,NORMAL
ERO5,EL RIO 5,4,0,NO,DC,GAS,01/01/72,BARRANQUILLA,ATLÁNTICO,ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.,INACTIVO,TERMICA,NORMAL
ERO4,EL RIO 4,5,0,NO,DC,GAS,01/01/72,BARRANQUILLA,ATLÁNTICO,ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.,INACTIVO,TERMICA,NORMAL
ERO3,EL RIO 3,5,0,NO,DC,GAS,01/01/72,BARRANQUILLA,ATLÁNTICO,ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.,INACTIVO,TERMICA,NORMAL
ERO2,EL RIO 2,4,0,NO,DC,GAS,01/01/72,BARRANQUILLA,ATLÁNTICO,ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.,INACTIVO,TERMICA,NORMAL
ERO1,EL RIO 1,2,0,NO,DC,GAS,01/01/72,BARRANQUILLA,ATLÁNTICO,ELECTRIFICADORA DEL ATLANTICO S.A. E.S.P.,INACTIVO,TERMICA,NORMAL
BLL2,BALLENA 2,13,0,NO,DC,GAS,01/01/83,RIOHACHA,LA GUAJIRA,CORPORACION ELECTRICA DE LA COSTA ATLANTICA S.A. E.S.P.,INACTIVO,TERMICA,NORMAL
BLL1,BALLENA 1,13,0,NO,DC,GAS,01/01/83,RIOHACHA,LA GUAJIRA,CORPORACION ELECTRICA DE LA COSTA ATLANTICA S.A. E.S.P.,INACTIVO,TERMICA,NORMAL
3JPC,GD CHICORAL,1,0,SI,ND,RAD SOLAR,02/29/24,FLANDES,TOLIMA,CELSIA COLOMBIA S.A. E.S.P.,PRUEBAS,SOLAR,GEN. DISTRIBUIDA
3JPE,GD LOS CHORROS,1,0,SI,ND,RAD SOLAR,02/16/24,FLANDES,TOLIMA,CELSIA COLOMBIA S.A. E.S.P.,OPERACIÓN,SOLAR,GEN. DISTRIBUIDA
3JQA,GD EL BANCO,1,0,SI,ND,RAD SOLAR,02/22/24,ARMERO,TOLIMA,CELSIA COLOMBIA S.A. E.S.P.,OPERACIÓN,SOLAR,GEN. DISTRIBUIDA
3JP8,GD LA URIBE,1,0,SI,ND,RAD SOLAR,02/29/24,LA VICTORIA,VALLE DEL CAUCA,CELSIA COLOMBIA S.A. E.S.P.,PRUEBAS,SOLAR,GEN. DISTRIBUIDA
3JPA,GD ALFEREZ,1,0,SI,ND,RAD SOLAR,02/22/24,CALI,VALLE DEL CAUCA,CELSIA COLOMBIA S.A. E.S.P.,OPERACIÓN,SOLAR,GEN. DISTRIBUIDA
3JP6,GD BASILICA,1,0,SI,ND,RAD SOLAR,02/16/24,BUGA,VALLE DEL CAUCA,CELSIA COLOMBIA S.A. E.S.P.,OPERACIÓN,SOLAR,GEN. DISTRIBUIDA
3JQC,GANDALF,1,0,SI,ND,RAD SOLAR,02/22/24,SAN DIEGO,CESAR,UNERGY ENERGY DIGITAL S.A.S E.S.P,OPERACIÓN,SOLAR,GEN. DISTRIBUIDA
3JQE,CANAHUATE,1,0,SI,ND,RAD SOLAR,02/22/24,SAN DIEGO,CESAR,UNERGY ENERGY DIGITAL S.A.S E.S.P,OPERACIÓN,SOLAR,GEN. DISTRIBUIDA
3JPM,BARAYA,1,0,SI,ND,RAD SOLAR,02/18/24,GALERAS,SUCRE,UNERGY ENERGY DIGITAL S.A.S E.S.P,OPERACIÓN,SOLAR,GEN. DISTRIBUIDA
3JPK,MINIGRANJA SAN PEDRO,1,0,SI,ND,RAD SOLAR,02/27/24,SAN PEDRO,SUCRE,NITRO ENERGY COLOMBIA S.A.S. E.S.P.,OPERACIÓN,SOLAR,GEN. DISTRIBUIDA
3JBP,LA NENERA,1,0,SI,ND,RAD SOLAR,01/13/24,SAN JUAN NEPOMUC.,BOLÍVAR,ERCO GENERACION S.A.S. ESP,OPERACIÓN,SOLAR,GEN. DISTRIBUIDA
3J83,GUAMO,9,0,SI,ND,RAD SOLAR,10/31/23,GUAMO,TOLIMA,ERCO GENERACION S.A.S. ESP,PRUEBAS,SOLAR,NORMAL
3J85,NUMBANA,10,0,SI,ND,RAD SOLAR,10/31/23,GUAMO,TOLIMA,ERCO GENERACION S.A.S. ESP,PRUEBAS,SOLAR,NORMAL
3J1J,PARQUE SOLAR HONDA I,10,0,SI,ND,RAD SOLAR,12/28/23,GUADUAS,CUNDINAMARCA,ATLÁNTICA COLOMBIA S.A.S. E.S.P.,OPERACIÓN,SOLAR,NORMAL
3J4D,CAIMAN CIENAGUERO,9,0,SI,ND,RAD SOLAR,12/15/23,CIENAGA,MAGDALENA,GREENYELLOW COMERCIALIZADORA S.A.S. E.S.P.,OPERACIÓN,SOLAR,NORMAL
3J2H,PETALO DE CORDOBA II,10,0,SI,ND,RAD SOLAR,12/16/23,CHINU,CÓRDOBA,BCCY CORDOBA S.A.S. E.S.P.,OPERACIÓN,SOLAR,NORMAL
TPUY,PARQUE SOLAR TEPUY,83,0,NO,DC,RAD SOLAR,09/30/23,LA DORADA,CALDAS,EMPRESAS PUBLICAS DE MEDELLIN E.S.P.,PRUEBAS,SOLAR,NORMAL
3J4V,PARQUE SOLAR LA MENA,9,0,SI,ND,RAD SOLAR,02/16/24,SAN CARLOSGUAROA,META,GREENYELLOW COMERCIALIZADORA S.A.S. E.S.P.,OPERACIÓN,SOLAR,NORMAL
3J4T,PARQUE SOLAR VERSALLES,9,0,SI,ND,RAD SOLAR,09/30/23,SAN JUANDE ARAMA,META,GREENYELLOW COMERCIALIZADORA S.A.S. E.S.P.,PRUEBAS,SOLAR,NORMAL
3J4R,PARQUE SOLAR DINAMARCA,9,0,SI,ND,RAD SOLAR,09/30/23,SAN JUANDE ARAMA,META,GREENYELLOW COMERCIALIZADORA S.A.S. E.S.P.,PRUEBAS,SOLAR,NORMAL
3IS2,PARQUE SOLAR ARENAL,2,0,SI,ND,RAD SOLAR,12/30/23,SAN ESTANISLAO,BOLÍVAR,NITRO ENERGY COLOMBIA S.A.S. E.S.P.,OPERACIÓN,SOLAR,NORMAL
3INX,CARACOLI I,50,0,NO,DC,RAD SOLAR,07/31/23,MALAMBO,ATLÁNTICO,SOL DE LAS CIÉNAGAS S.A.S. E.S.P.,PRUEBAS,SOLAR,NORMAL
3IRZ,LA CASCADA DE GRANADA,2,1.8,SI,ND,AGUA,09/30/23,GRANADA,ANTIOQUIA,SANTA FE ENERGY ZOMAC S.A.S. E.S.P.,OPERACIÓN,HIDRAULICA,NORMAL
3IRX,PORTON DEL SOL,102,0,NO,DC,RAD SOLAR,05/31/23,LA DORADA,CALDAS,PARQUE SOLAR PORTON DEL SOL SAS ESP,PRUEBAS,SOLAR,NORMAL
3HWK,AGPE EL ENCANTO,1,0,SI,ND,RAD SOLAR,06/08/23,POLONUEVO,ATLÁNTICO,ENERMAS SAS ESP,OPERACIÓN,SOLAR,AUTOG PEQ. ESCALA
3HG9,COMUNIDAD EL SALVADOR II,0,0,SI,ND,RAD SOLAR,03/24/23,MEDELLÍN,ANTIOQUIA,ERCO GENERACION S.A.S. ESP,OPERACIÓN,SOLAR,GEN. DISTRIBUIDA
3HG7,COMUNIDAD EL SALVADOR I,0,0,SI,ND,RAD SOLAR,03/24/23,MEDELLÍN,ANTIOQUIA,ERCO GENERACION S.A.S. ESP,OPERACIÓN,SOLAR,GEN. DISTRIBUIDA
3HF5,FUNDACION,100,0,NO,DC,RAD SOLAR,02/28/23,FUNDACION,MAGDALENA,ENEL COLOMBIA SA ESP,PRUEBAS,SOLAR,NORMAL
3HDE,SAN BARTOLOME,20,1.5474,SI,ND,AGUA,05/14/23,GUAPOTA,SANTANDER,PCH SAN BARTOLOME S.A.S. E.S.P. ,OPERACIÓN,HIDRAULICA,NORMAL
3HYG,URUACO,1,0,SI,ND,RAD SOLAR,06/18/23,LURUACO,ATLÁNTICO,UNERGY ENERGY DIGITAL S.A.S E.S.P,OPERACIÓN,SOLAR,NORMAL
3HF7,CELSIA SOLAR LA VICTORIA II,20,0,SI,ND,RAD SOLAR,08/30/23,LA VICTORIA,VALLE DEL CAUCA,CELSIA COLOMBIA S.A. E.S.P.,OPERACIÓN,SOLAR,NORMAL
3HLD,LOS GIRASOLES,10,0,SI,ND,RAD SOLAR,08/05/23,ABREGO,NORTE DE SANTANDER,PARQUE SOLAR LOS GIRASOLES S.A.S ESP,OPERACIÓN,SOLAR,NORMAL
3HF9,CELSIA SOLAR LA VICTORIA I,20,0,SI,ND,RAD SOLAR,08/30/23,LA VICTORIA,VALLE DEL CAUCA,CELSIA COLOMBIA S.A. E.S.P.,OPERACIÓN,SOLAR,NORMAL
3HWM,PETALO DEL MAGDALENA,10,0,SI,ND,RAD SOLAR,08/05/23,ZONA BANANERA,MAGDALENA,CELSIA COLOMBIA S.A. E.S.P.,OPERACIÓN,SOLAR,NORMAL
3HE8,AUTOG CELSIA SOLAR PALMIRA 3 ZONA FRANCA,3,0,NO,ND,RAD SOLAR,04/30/23,PALMIRA,VALLE DEL CAUCA,CELSIA COLOMBIA S.A. E.S.P.,OPERACIÓN,SOLAR,AUTOGENERADOR
MATA,LA MATA,80,0,NO,DC,RAD SOLAR,02/28/23,LA GLORIA,CESAR,SPK LA MATA S.A.S E.S.P,PRUEBAS,SOLAR,NORMAL
3IZ6,PARQUE SOLAR LA UNION,100,0,NO,DC,RAD SOLAR,02/28/23,SAN CARLOS,CÓRDOBA,SPK LA UNIÓN S.A.S. E.S.P.,PRUEBAS,SOLAR,NORMAL
3IJF,AUTOG COSTAYACO,2,0.0865,NO,ND,GAS,09/04/23,VILLAGARZON,PUTUMAYO,DEPI ENERGY S.A.S. E.S.P.,OPERACIÓN,TERMICA,AUTOGENERADOR
3J2B,SOLAR PLANETA RICA,20,0,SI,ND,RAD SOLAR,12/31/22,PLANETA RICA,CÓRDOBA,CELSIA COLOMBIA S.A. E.S.P.,PRUEBAS,SOLAR,NORMAL
3IQA,SUNNORTE,35,0,NO,DC,RAD SOLAR,12/31/22,OCANA,NORTE DE SANTANDER,GENERSOL S.A.S. E.S.P.,PRUEBAS,SOLAR,NORMAL
3GVM,CELSIA SOLAR YUMA,9,0,SI,ND,RAD SOLAR,03/27/23,FLANDES,TOLIMA,CELSIA COLOMBIA S.A. E.S.P.,OPERACIÓN,SOLAR,NORMAL
3GVK,CELSIA SOLAR DULIMA,20,0,SI,ND,RAD SOLAR,03/27/23,FLANDES,TOLIMA,CELSIA COLOMBIA S.A. E.S.P.,OPERACIÓN,SOLAR,NORMAL
3GVI,GRANJA SOLAR FLANDES,20,0,SI,ND,RAD SOLAR,03/27/23,FLANDES,TOLIMA,CELSIA COLOMBIA S.A. E.S.P.,OPERACIÓN,SOLAR,NORMAL
RUB1,TERMOEBR,19,8.49,NO,DC,ACPM,12/25/22,PUERTO GAITAN,META,PROELECTRICA S.A.S E.S.P.,INACTIVO,TERMICA,NORMAL
JAG1,TERMOPROYECTOS,19,7.26,NO,DC,ACPM,12/25/22,TAURAMENA,CASANARE,PROELECTRICA S.A.S E.S.P.,INACTIVO,TERMICA,NORMAL
